"","type_of_monument_clean","n"
"1","NULL",154
"2","altar",38
"3","base",2
"4","cliff",6
"5","honorific/grave/votive column",2
"6","relief",1
"7","sarcophagus",2
"8","statue base",3
"9","stele",125
"10","tabula",34
"11","urn",3
"12",NA,11
